Job Title,Company,Location,Link
Data Scientist (L5) - Customer Service,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-customer-service-at-netflix-4231868796?position=1&pageNum=0&refId=7rfu1CYv6Cy36f6lQMsqIw%3D%3D&trackingId=%2F%2BYFpC%2Bgi4EFlCoyZ9eP%2Bg%3D%3D
Data Scientist (L5) - Customer Service Experimentation,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-customer-service-experimentation-at-netflix-4231869729?position=2&pageNum=0&refId=7rfu1CYv6Cy36f6lQMsqIw%3D%3D&trackingId=yKqvK0CLjrhdoBBR2i0xQA%3D%3D
